"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","New Brunswick","All",2001,"[0,5[",38604,38604,1,0
"CANSIM","New Brunswick","All",2001,"[5,10[",44499,44499,1,0
"CANSIM","New Brunswick","All",2001,"[10,15[",48504,48504,1,0
"CANSIM","New Brunswick","All",2001,"[15,20[",51473,51473,1,0
"CANSIM","New Brunswick","All",2001,"[20,25[",50379,50379,1,0
"CANSIM","New Brunswick","All",2001,"[25,30[",49747,49747,1,0
"CANSIM","New Brunswick","All",2001,"[30,35[",52067,52067,1,0
"CANSIM","New Brunswick","All",2001,"[35,40[",62719,62719,1,0
"CANSIM","New Brunswick","All",2001,"[40,45[",63353,63353,1,0
"CANSIM","New Brunswick","All",2001,"[45,50[",59526,59526,1,0
"CANSIM","New Brunswick","All",2001,"[50,55[",55241,55241,1,0
"CANSIM","New Brunswick","All",2001,"[55,60[",41420,41420,1,0
"CANSIM","New Brunswick","All",2001,"[60,65[",32665,32665,1,0
"CANSIM","New Brunswick","All",2001,"[65,70[",27976,27976,1,0
"CANSIM","New Brunswick","All",2001,"[70,75[",24417,24417,1,0
"CANSIM","New Brunswick","All",2001,"[75,80[",20890,20890,1,0
"CANSIM","New Brunswick","All",2001,"[80,85[",14375,14375,1,0
"CANSIM","New Brunswick","All",2001,"[85,90[",7964,7964,1,0
"CANSIM","New Brunswick","All",2001,"[90,95[",3119,3119,1,0
"CANSIM","New Brunswick","All",2001,"[95,100[",745,745,1,0
"CANSIM","New Brunswick","All",2001,"[100,max[",137,137,1,0
"CANSIM","New Brunswick","Male",2001,"All",370562,370562,1,0
"CANSIM","New Brunswick","Male",2001,"[0,5[",20078,20078,0,0
"CANSIM","New Brunswick","Male",2001,"[5,10[",22932,22932,0,0
"CANSIM","New Brunswick","Male",2001,"[10,15[",24972,24972,0,0
"CANSIM","New Brunswick","Male",2001,"[15,20[",26508,26508,0,0
"CANSIM","New Brunswick","Male",2001,"[20,25[",25649,25649,0,0
"CANSIM","New Brunswick","Male",2001,"[25,30[",24979,24979,0,0
"CANSIM","New Brunswick","Male",2001,"[30,35[",26172,26172,0,0
"CANSIM","New Brunswick","Male",2001,"[35,40[",31520,31520,0,0
